Constituency_Number,Constituency_Name,Total_Electors,Total_Votes_Polled,Position,Candidate_Name,Votes,Vote_Percentage,Party
1,Valmikinagar,310504,187399,1,Dhirendra Pratap Singh Alias Rinku Singh,74906,40.0,Janata Dal (United)
1,Valmikinagar,310504,187399,2,Rajesh Singh,53321,28.5,Indian National Congress
1,Valmikinagar,310504,187399,3,Sumant Kumar,18409,9.8,Jan Adhikar Party (Loktantrik)
1,Valmikinagar,310504,187399,4,Baidyanath Prasad,14498,7.7,Bahujan Samaj Party
1,Valmikinagar,310504,187399,5,Mahendra Kumar Bharti,6612,3.5,Lok Jan Shakti Party
1,Valmikinagar,310504,187399,6,Deepak Kumar Malakar,4279,2.3,Bhartiya Party (Loktantrik)
1,Valmikinagar,310504,187399,7,Gaurav Jha,2863,1.5,The Plurals Party
1,Valmikinagar,310504,187399,8,Saket Kumar Pathak,2735,1.5,Jan Sangharsh Dal
1,Valmikinagar,310504,187399,9,Mahmad Jalil,2657,1.4,Independent
1,Valmikinagar,310504,187399,10,Rajesh Kumar,2608,1.4,Independent
1,Valmikinagar,310504,187399,11,Tirthraj Yadav,2515,1.3,Independent
1,Valmikinagar,310504,187399,12,Kumari Rajwanti Kushwaha,1996,1.1,Independent
2,Ramnagar,284441,186157,1,Bhagirathi Devi,75423,40.5,Bharatiya Janta Party
2,Ramnagar,284441,186157,2,Rajesh Ram,59627,32.0,Indian National Congress
2,Ramnagar,284441,186157,3,Subodh Kumar,26063,14.0,Bhartiya Panchyat Party
2,Ramnagar,284441,186157,4,Lorik Das,4331,2.3,Fauji Kisan Party
2,Ramnagar,284441,186157,5,Lokesh Ram,4051,2.2,Rashtriya Lok Samta Party
2,Ramnagar,284441,186157,6,Ramayan Paswan,3793,2.0,Independent
2,Ramnagar,284441,186157,7,Vinay Ram,3215,1.7,Janta Dal Rashtravadi
2,Ramnagar,284441,186157,8,Awadh Kishor Ram,3111,1.7,Independent
2,Ramnagar,284441,186157,9,Ayush Kumar,2671,1.4,Independent
2,Ramnagar,284441,186157,10,Ramnaresh Baitha,2460,1.3,Independent
2,Ramnagar,284441,186157,11,Champa Devi,1412,0.8,The Plurals Party
3,Narkatiaganj,253288,162968,1,Rashmi Varma,75484,46.3,Bharatiya Janta Party
3,Narkatiaganj,253288,162968,2,Vinay Varma,54350,33.4,Indian National Congress
3,Narkatiaganj,253288,162968,3,Renu Devi,7674,4.7,Independent
3,Narkatiaganj,253288,162968,4,Naushad Ahmad,5408,3.3,Lok Jan Shakti Party
3,Narkatiaganj,253288,162968,5,Manjeet Kumar Verma,2913,1.8,Rashtriya Lok Samta Party
3,Narkatiaganj,253288,162968,6,Nathu Ravi,2051,1.3,Independent
3,Narkatiaganj,253288,162968,7,Bablu Kumar Gupta,1805,1.1,Independent
3,Narkatiaganj,253288,162968,8,Anil Kumar Mishra,1429,0.9,Independent
3,Narkatiaganj,253288,162968,9,Mohammad Rashid Azim,1294,0.8,Nationalist Congress Party
3,Narkatiaganj,253288,162968,10,Afsar Imam,1255,0.8,Jan Adhikar Party (Loktantrik)
3,Narkatiaganj,253288,162968,11,Ramchandra Mahto,1148,0.7,Jai Maha Bharath Party
3,Narkatiaganj,253288,162968,12,Gulrez Hoda,1113,0.7,Jan Sangharsh Dal
