Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
3,3 - NARKATIAGANJ,1,DEEPAK YADAV,Rashtriya Janata Dal,73355,231,73586,37.41
3,3 - NARKATIAGANJ,2,MD MOTIUR RAHMAN,Bahujan Samaj Party,941,10,951,0.48
3,3 - NARKATIAGANJ,3,SHASHWAT KEDAR,Indian National Congress,5259,129,5388,2.74
3,3 - NARKATIAGANJ,4,SANJAY KUMAR PANDEY,Bharatiya Janata Party,99815,229,100044,50.86
3,3 - NARKATIAGANJ,5,DILSHAD AHMAD,Fauji Janta Party,1236,2,1238,0.63
3,3 - NARKATIAGANJ,6,MOHAMMAD RASHID AZIM,Nationalist Congress Party,289,2,291,0.15
3,3 - NARKATIAGANJ,7,MD. WASIULLAH,Jan Suraaj Party,4202,36,4238,2.15
3,3 - NARKATIAGANJ,8,ISHTEYAK AHAMAD,Independent,3823,8,3831,1.95
3,3 - NARKATIAGANJ,9,DHRUP RAM,Independent,676,0,676,0.34
3,3 - NARKATIAGANJ,10,MAYA DEVI,Independent,2314,23,2337,1.19
3,3 - NARKATIAGANJ,11,RAJENDRA PRASAD YADAV,Independent,1205,0,1205,0.61
3,3 - NARKATIAGANJ,12,SAMEER SUNU,Independent,703,0,703,0.36
3,3 - NARKATIAGANJ,13,NOTA,None of the Above,2201,2,2203,1.12
