Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
6,6 - NAUTAN,1,AMIT KUMAR,Indian National Congress,79525,355,79880,38.43
6,6 - NAUTAN,2,NARAYAN PRASAD,Bharatiya Janata Party,101725,227,101952,49.05
6,6 - NAUTAN,3,VIRENDRA RAO,Bahujan Samaj Party,2700,14,2714,1.31
6,6 - NAUTAN,4,AJEET KUMAR SAH,Janshakti Janta Dal,779,3,782,0.38
6,6 - NAUTAN,5,JAI PRAKASH,Nationalist Congress Party,268,2,270,0.13
6,6 - NAUTAN,6,SANJAY PRASAD ALIAS SANJAY KUMAR SINGH,Apni Janta Party,816,6,822,0.4
6,6 - NAUTAN,7,SANTOSH CHAUDHARI,Jan Suraaj Party,12028,54,12082,5.81
6,6 - NAUTAN,8,CHITRANJAN KUMAR PATEL,Independent,1530,3,1533,0.74
6,6 - NAUTAN,9,MOHAMMAD ALI,Independent,643,2,645,0.31
6,6 - NAUTAN,10,BIPIN BIHARI PANDEY,Independent,1990,0,1990,0.96
6,6 - NAUTAN,11,SIKANDAR RAM,Independent,1943,0,1943,0.93
6,6 - NAUTAN,12,NOTA,None of the Above,3215,5,3220,1.55
