Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
9,9 - SIKTA,1,AURANGJEB,Aam Aadmi Party,2510,2,2512,1.19
9,9 - SIKTA,2,BIRENDRA PRASAD GUPTA,Communist Party of India (Marxist-Leninist) (Liberation),37252,179,37431,17.76
9,9 - SIKTA,3,SANTOSH RAM,Bahujan Samaj Party,1959,5,1964,0.93
9,9 - SIKTA,4,SAMMRIDH VARMA,Janata Dal (United),96911,262,97173,46.11
9,9 - SIKTA,5,UTKARSH SRIVASTAVA,Jan Suraaj Party,8143,38,8181,3.88
9,9 - SIKTA,6,PUNAM SHARMA,Jagrook Janta Party,737,0,737,0.35
9,9 - SIKTA,7,MD. FAKHRUDDIN,Rashtriya Jansambhavna Party,2225,0,2225,1.06
9,9 - SIKTA,8,MD ASLAM,Independent,1720,2,1722,0.82
9,9 - SIKTA,9,KHURSHID FIROZ AHMAD,Independent,49795,234,50029,23.74
9,9 - SIKTA,10,PRAMOD SAH,Independent,1793,0,1793,0.85
9,9 - SIKTA,11,LALGURAD MIYAN,Independent,2426,1,2427,1.15
9,9 - SIKTA,12,NOTA,None of the Above,4566,2,4568,2.17
