Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
15,15 - KESARIA,1,RAM ADHAR RAI,Aam Aadmi Party,2658,5,2663,1.51
15,15 - KESARIA,2,SHALINI MISHRA,Janata Dal (United),77879,313,78192,44.26
15,15 - KESARIA,3,CHUTUN KUMAR,Rashtriya Jansambhavna Party,2249,4,2253,1.28
15,15 - KESARIA,4,NAJ AHAMAD KHAN,Jan Suraaj Party,11132,74,11206,6.34
15,15 - KESARIA,5,VARUN VIJAY,Vikassheel Insaan Party,61591,261,61852,35.01
15,15 - KESARIA,6,VINOD KUMAR,Janshakti Janta Dal,3303,10,3313,1.88
15,15 - KESARIA,7,CHANDRESHWAR MISHRA,Independent,4342,0,4342,2.46
15,15 - KESARIA,8,PUNAM DEVI,Independent,2117,14,2131,1.21
15,15 - KESARIA,9,RAM SHARAN PRASAD YADAV,Independent,2767,15,2782,1.57
15,15 - KESARIA,10,SUNIL KUMAR,Independent,4562,5,4567,2.58
15,15 - KESARIA,11,NOTA,None of the Above,3378,4,3382,1.91
