Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
16,16 - KALYANPUR,1,MANOJ KUMAR YADAV,Rashtriya Janata Dal,73030,459,73489,39.46
16,16 - KALYANPUR,2,MD BADIUZZAMAN,Bahujan Samaj Party,4439,51,4490,2.41
16,16 - KALYANPUR,3,RAMBABU DAS,Aam Aadmi Party,577,2,579,0.31
16,16 - KALYANPUR,4,SACHINDRA PRASAD SINGH,Bharatiya Janata Party,88759,298,89057,47.82
16,16 - KALYANPUR,5,ARVIND KUMAR PANDEY,Lohiya Janta Dal,2249,1,2250,1.21
16,16 - KALYANPUR,6,MANTOSH KUMAR SAHNI,Jan Suraaj Party,5158,48,5206,2.8
16,16 - KALYANPUR,7,MOHIT KUMAR,Jagrook Janta Party,624,0,624,0.34
16,16 - KALYANPUR,8,ASHOK KUMAR YADAV,Independent,2586,19,2605,1.4
16,16 - KALYANPUR,9,NITESH KUMAR SINGH,Independent,1626,0,1626,0.87
16,16 - KALYANPUR,10,RAKESH KUMAR PANDIT,Independent,517,0,517,0.28
16,16 - KALYANPUR,11,SUBODH KUMAR,Independent,2504,8,2512,1.35
16,16 - KALYANPUR,12,NOTA,None of the Above,3256,4,3260,1.75
