Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
19,19 - MOTIHARI,1,DEWA GUPTA,Rashtriya Janata Dal,91875,642,92517,43.17
19,19 - MOTIHARI,2,PRAMOD KUMAR,Bharatiya Janata Party,105645,435,106080,49.5
19,19 - MOTIHARI,3,FAKHRE ALAM,Bahujan Samaj Party,1146,8,1154,0.54
19,19 - MOTIHARI,4,ATUL KUMAR,Jan Suraaj Party,6521,71,6592,3.08
19,19 - MOTIHARI,5,SIKANDAR CHAUDHARY,Rashtriya Jansambhavna Party,510,2,512,0.24
19,19 - MOTIHARI,6,SUSHIL KUMAR,The Plurals Party,323,0,323,0.15
19,19 - MOTIHARI,7,DIVYANSHU BHARDWAJ,Independent,2059,23,2082,0.97
19,19 - MOTIHARI,8,DUKHIT RAY,Independent,603,0,603,0.28
19,19 - MOTIHARI,9,BRAJBIHARI YADAV,Independent,1647,0,1647,0.77
19,19 - MOTIHARI,10,NOTA,None of the Above,2779,22,2801,1.31
