Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
21,21 - DHAKA,1,PAWAN KUMAR JAISWAL,Bharatiya Janata Party,112198,351,112549,45.64
21,21 - DHAKA,2,FAISAL RAHMAN,Rashtriya Janata Dal,112079,648,112727,45.72
21,21 - DHAKA,3,MADHUSUDAN KUMAR,Aam Aadmi Party,908,4,912,0.37
21,21 - DHAKA,4,SIKANDAR BHARTI,Bahujan Samaj Party,393,3,396,0.16
21,21 - DHAKA,5,KEDAR RAM,Nayak Yuva Kranti Party,215,0,215,0.09
21,21 - DHAKA,6,DOCTOR L. B. PRASAD,Jan Suraaj Party,8263,84,8347,3.39
21,21 - DHAKA,7,NAGINA PASWAN,Rashtriya Jansambhavna Party,477,0,477,0.19
21,21 - DHAKA,8,RANA RANJIT,All India Majlis-E-Ittehadul Muslimeen,5704,26,5730,2.32
21,21 - DHAKA,9,MD SALIM,Independent,495,0,495,0.2
21,21 - DHAKA,10,SUBODH KUMAR,Independent,1684,1,1685,0.68
21,21 - DHAKA,11,NOTA,None of the Above,3042,5,3047,1.24
