Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
22,22 - SHEOHAR,1,NAVNEET KUMAR,Rashtriya Janata Dal,65646,225,65871,31.35
22,22 - SHEOHAR,2,MD SHARFUDDIN,Bahujan Samaj Party,16357,112,16469,7.84
22,22 - SHEOHAR,3,SHWETA GUPTA,Janata Dal (United),97081,188,97269,46.29
22,22 - SHEOHAR,4,AMRENDRA KUMAR,Bajjikanchal Vikas Party,1464,0,1464,0.7
22,22 - SHEOHAR,5,NIRAJ SINGH,Jan Suraaj Party,13880,72,13952,6.64
22,22 - SHEOHAR,6,PURUSHOTTAM KUMAR,GaribJanta Party Loktantrik,1023,1,1024,0.49
22,22 - SHEOHAR,7,MAMTA KUMARI,Rashtriya Jansambhavna Party,802,0,802,0.38
22,22 - SHEOHAR,8,ANISH KUMAR,Independent,1100,0,1100,0.52
22,22 - SHEOHAR,9,PRAKASH KUMAR,Independent,1363,0,1363,0.65
22,22 - SHEOHAR,10,VIJAYCHANDRA JHA,Independent,4466,0,4466,2.13
22,22 - SHEOHAR,11,SANJAY SANGHARSH SINGH,Independent,1488,1,1489,0.71
22,22 - SHEOHAR,12,NOTA,None of the Above,4839,3,4842,2.3
