Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
23,23 - RIGA,1,AMIT KUMAR,Indian National Congress,83975,293,84268,38.84
23,23 - RIGA,2,BAIDYANATH PRASAD,Bharatiya Janata Party,117252,141,117393,54.11
23,23 - RIGA,3,UPENDRA SAHANI,Rashtriya Jansambhavna Party,2255,1,2256,1.04
23,23 - RIGA,4,KRISHNA MOHAN SINGH,Jan Suraaj Party,3055,23,3078,1.42
23,23 - RIGA,5,NAGENDRA KUMAR PASWAN,Peoples Party of India (Democratic),351,5,356,0.16
23,23 - RIGA,6,DHIRAJ KUMAR,Independent,423,0,423,0.19
23,23 - RIGA,7,DR. PRADEEP KUMAR JAYASWAL,Independent,809,1,810,0.37
23,23 - RIGA,8,MOTILAL RAUT,Independent,849,0,849,0.39
23,23 - RIGA,9,RAMNATH MAHTO,Independent,669,0,669,0.31
23,23 - RIGA,10,RAMASHISH RAY,Independent,4039,2,4041,1.86
23,23 - RIGA,11,NOTA,None of the Above,2796,3,2799,1.29
