Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
24,24 - BATHNAHA,1,ANIL KUMAR,Bharatiya Janata Party,123473,225,123698,57.47
24,24 - BATHNAHA,2,AMRITA SONI,Rashtriya Lok Janshakti Party,1873,4,1877,0.87
24,24 - BATHNAHA,3,NAVIN KUMAR,Indian National Congress,71619,310,71929,33.42
24,24 - BATHNAHA,4,SAHDEO RAM,Bahujan Samaj Party,1750,4,1754,0.81
24,24 - BATHNAHA,5,DEEPAK RAJ,Janshakti Vikas Party (Democratic),825,0,825,0.38
24,24 - BATHNAHA,6,NAWAL KISHOR CHOUDHARY,Jan Suraaj Party,5245,37,5282,2.45
24,24 - BATHNAHA,7,MANOJ SADA,Lok Dal,661,1,662,0.31
24,24 - BATHNAHA,8,SUNIL RAM,"Proutist Bloc, India",583,0,583,0.27
24,24 - BATHNAHA,9,ARCHANA KUMARI,Independent,1664,9,1673,0.78
24,24 - BATHNAHA,10,PRAMOD BAITHA,Independent,1972,0,1972,0.92
24,24 - BATHNAHA,11,BRAJESH PASWAN,Independent,1191,3,1194,0.55
24,24 - BATHNAHA,12,NOTA,None of the Above,3800,7,3807,1.77
