Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
25,25 - PARIHAR,1,AKHILESH NARAYAN THAKUR,Aam Aadmi Party,2010,3,2013,0.96
25,25 - PARIHAR,2,GAYETRI DEVI,Bharatiya Janata Party,82559,85,82644,39.36
25,25 - PARIHAR,3,SMITA GUPTA,Rashtriya Janata Dal,48374,160,48534,23.11
25,25 - PARIHAR,4,AWADHESH PRASAD,Jan Suraaj Party,3201,16,3217,1.53
25,25 - PARIHAR,5,CHANDRABHUSHAN KUMAR,Independent,1361,1,1362,0.65
25,25 - PARIHAR,6,MAHENDRA SINGH YADAV,Independent,1614,1,1615,0.77
25,25 - PARIHAR,7,MOHD MUKSAID ALAM,Independent,794,0,794,0.38
25,25 - PARIHAR,8,RAM VINOD NAYAK,Independent,1964,0,1964,0.94
25,25 - PARIHAR,9,RITU JAISWAL,Independent,65271,184,65455,31.17
25,25 - PARIHAR,10,NOTA,None of the Above,2379,0,2379,1.13
