Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
26,26 - SURSAND,1,ANIL KUMAR,Bahujan Samaj Party,1216,2,1218,0.59
26,26 - SURSAND,2,RISHI KUMAR AGRAWAL,Aam Aadmi Party,1534,7,1541,0.74
26,26 - SURSAND,3,PROF. NAGENDRA RAUT,Janata Dal (United),103962,195,104157,50.04
26,26 - SURSAND,4,SYED ABU DOJANA,Rashtriya Janata Dal,80245,245,80490,38.67
26,26 - SURSAND,5,USHA KIRAN,Jan Suraaj Party,5951,42,5993,2.88
26,26 - SURSAND,6,SATISH KUMAR MISHRA,Vikas Vanchit Insan Party,924,0,924,0.44
26,26 - SURSAND,7,KAMESHWAR THAKUR,Independent,1768,1,1769,0.85
26,26 - SURSAND,8,PRABHAT KUMAR,Independent,2303,7,2310,1.11
26,26 - SURSAND,9,MANOJ KUMAR,Independent,1938,0,1938,0.93
26,26 - SURSAND,10,RAJEEV NAND,Independent,3625,0,3625,1.74
26,26 - SURSAND,11,VINAY KUMAR,Independent,1044,1,1045,0.5
26,26 - SURSAND,12,NOTA,None of the Above,3131,3,3134,1.51
