Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
27,27 - BAJPATTI,1,DEONANDAN RAM,Bahujan Samaj Party,2180,6,2186,0.99
27,27 - BAJPATTI,2,MUKESH KUMAR YADAV,Rashtriya Janata Dal,95488,261,95749,43.47
27,27 - BAJPATTI,3,RANDHIR KUMAR,Aam Aadmi Party,1387,2,1389,0.63
27,27 - BAJPATTI,4,ABDUL HASIB,Peace Party,795,1,796,0.36
27,27 - BAJPATTI,5,AAJAM KHAN,Jan Suraaj Party,6138,36,6174,2.8
27,27 - BAJPATTI,6,MOHAMMAD AFTAB,Apna Adhikar Party,918,2,920,0.42
27,27 - BAJPATTI,7,RAKESH KUMAR,The Plurals Party,3079,1,3080,1.4
27,27 - BAJPATTI,8,RAMESHWAR KUMAR MEHTO,Rashtriya Lok Morcha,99034,110,99144,45.02
27,27 - BAJPATTI,9,SUSHIL RAJ,Bhartiya Sarthak Party,1282,1,1283,0.58
27,27 - BAJPATTI,10,AJEET KUMAR JHA,Independent,835,3,838,0.38
27,27 - BAJPATTI,11,ASHA CHOUDHARY,Independent,793,1,794,0.36
27,27 - BAJPATTI,12,MOHD. ZEYAUR RAHMAN,Independent,2479,1,2480,1.13
27,27 - BAJPATTI,13,MD. MUNNA MANSURI,Independent,3102,3,3105,1.41
27,27 - BAJPATTI,14,NOTA,None of the Above,2298,5,2303,1.05
