Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
28,28 - SITAMARHI,1,RAJ NARAYAN SAH,Bahujan Samaj Party,1331,3,1334,0.62
28,28 - SITAMARHI,2,SUNIL KUMAR,Rashtriya Janata Dal,98243,421,98664,45.54
28,28 - SITAMARHI,3,SUNIL KUMAR PINTU,Bharatiya Janata Party,103952,274,104226,48.11
28,28 - SITAMARHI,4,UPENDRA SAHANI,Rashtriya Jansambhavna Party,2417,2,2419,1.12
28,28 - SITAMARHI,5,KRISHNA KUMAR JHA,"Proutist Bloc, India",337,1,338,0.16
28,28 - SITAMARHI,6,POOJA ARYA,Lok Dal,168,1,169,0.08
28,28 - SITAMARHI,7,CHANDRIKA PRASAD,Independent,260,1,261,0.12
28,28 - SITAMARHI,8,CHANDESHWAR PRASAD,Independent,993,2,995,0.46
28,28 - SITAMARHI,9,THAKUR CHANDAN KUMAR SINGH,Independent,223,1,224,0.1
28,28 - SITAMARHI,10,MAHESH NANDAN SINGH,Independent,454,1,455,0.21
28,28 - SITAMARHI,11,RAGHVENDRA KUMAR,Independent,592,0,592,0.27
28,28 - SITAMARHI,12,RAM KISHOR RAY,Independent,2867,0,2867,1.32
28,28 - SITAMARHI,13,VINOD SAH,Independent,1825,0,1825,0.84
28,28 - SITAMARHI,14,NOTA,None of the Above,2279,5,2284,1.05
