Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
29,29 - RUNNISAIDPUR,1,CHANDAN KUMAR,Rashtriya Janata Dal,73843,92,73935,38.28
29,29 - RUNNISAIDPUR,2,JITENDRA RAM,Bahujan Samaj Party,2091,1,2092,1.08
29,29 - RUNNISAIDPUR,3,PANKAJ KUMAR,Janata Dal (United),93580,92,93672,48.5
29,29 - RUNNISAIDPUR,4,IMTIYAZ ALAM NASIR AHMED,Desh Janhit Party,3489,1,3490,1.81
29,29 - RUNNISAIDPUR,5,PRAMOD KUMAR,Janshakti Janta Dal,1229,2,1231,0.64
29,29 - RUNNISAIDPUR,6,VIJAY KUMAR SAH,Jan Suraaj Party,7645,26,7671,3.97
29,29 - RUNNISAIDPUR,7,SHRAVAN SAHNI,Rashtriya Jansambhavna Party,1713,1,1714,0.89
29,29 - RUNNISAIDPUR,8,SANJAY KUMAR,Independent,3737,0,3737,1.93
29,29 - RUNNISAIDPUR,9,SUJAY KUMAR YADAV,Independent,1287,0,1287,0.67
29,29 - RUNNISAIDPUR,10,NOTA,None of the Above,4312,3,4315,2.23
