Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
30,30 - BELSAND,1,AMIT KUMAR,Lok Janshakti Party (Ram Vilas),81975,101,82076,44.83
30,30 - BELSAND,2,RANA RANDHIR SINGH CHOUHAN,Bahujan Samaj Party,7567,33,7600,4.15
30,30 - BELSAND,3,SHAMIM ALAM,Rashtriya Lok Janshakti Party,1703,3,1706,0.93
30,30 - BELSAND,4,SANJAY KUMAR GUPTA,Rashtriya Janata Dal,59198,193,59391,32.44
30,30 - BELSAND,5,AMBIKA SAH,Rashtriya Jansambhavna Party,2557,2,2559,1.4
30,30 - BELSAND,6,ARPNA SINGH,Jan Suraaj Party,18969,56,19025,10.39
30,30 - BELSAND,7,VIKASH KUMAR,Janshakti Janta Dal,2283,1,2284,1.25
30,30 - BELSAND,8,RUDAL SAH,Independent,879,0,879,0.48
30,30 - BELSAND,9,SHYAM BABU SINGH,Independent,1441,1,1442,0.79
30,30 - BELSAND,10,NOTA,None of the Above,6108,2,6110,3.34
