Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
31,31 - HARLAKHI,1,SUDHANSHU SHEKHAR,Janata Dal (United),85239,247,85486,46.6
31,31 - HARLAKHI,2,JITENDER YADAV,Janshakti Janta Dal,1905,2,1907,1.04
31,31 - HARLAKHI,3,RATNESHWAR THAKUR,Jan Suraaj Party,7915,67,7982,4.35
31,31 - HARLAKHI,4,RAKESH KUMAR PANDEY,Communist Party of India,49006,244,49250,26.85
31,31 - HARLAKHI,5,VIVEK KUMAR JHA,Rashtrawadi Janlok Party (Satya),1250,2,1252,0.68
31,31 - HARLAKHI,6,SHIVLAL PASWAN,Rashtriya Samaj Paksha,1044,2,1046,0.57
31,31 - HARLAKHI,7,SATISH SHARMA,Jagrook Janta Party,1091,0,1091,0.59
31,31 - HARLAKHI,8,ANIL JHA,Independent,3239,1,3240,1.77
31,31 - HARLAKHI,9,MD. SHABBIR,Independent,21963,78,22041,12.02
31,31 - HARLAKHI,10,SANJEET KUMAR BADAL GUPTA,Independent,3155,9,3164,1.72
31,31 - HARLAKHI,11,NOTA,None of the Above,6970,8,6978,3.8
