Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
32,32 - BENIPATTI,1,GHATA DEWANGAN,Bahujan Samaj Party,1363,5,1368,0.78
32,32 - BENIPATTI,2,NALINI RANJAN JHA ALIAS RUPAN JHA,Indian National Congress,62934,287,63221,36.08
32,32 - BENIPATTI,3,VINOD NARAYAN JHA,Bharatiya Janata Party,86932,221,87153,49.74
32,32 - BENIPATTI,4,SHUBHADA YADAV,Aam Aadmi Party,1533,3,1536,0.88
32,32 - BENIPATTI,5,ANKIT KUMAR JHA,Aam Janta Pragati Party,434,1,435,0.25
32,32 - BENIPATTI,6,ABADH KISHOR JHA,Janshakti Janta Dal,810,1,811,0.46
32,32 - BENIPATTI,7,PARVEZ ALAM,Jan Suraaj Party,4190,30,4220,2.41
32,32 - BENIPATTI,8,BECHAN RAM,All India Forward Bloc,480,2,482,0.28
32,32 - BENIPATTI,9,LALITA DEVI,Peoples Party of India (Democratic),1273,1,1274,0.73
32,32 - BENIPATTI,10,DR. B JHA MRINAL,Independent,10576,67,10643,6.07
32,32 - BENIPATTI,11,PANKAJ KUMAR RAM,Independent,1963,1,1964,1.12
32,32 - BENIPATTI,12,NOTA,None of the Above,2108,5,2113,1.21
