Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
34,34 - BABUBARHI,1,ARUN KUMAR SINGH,Rashtriya Janata Dal,79974,679,80653,39.09
34,34 - BABUBARHI,2,MINA KUMARI,Janata Dal (United),97947,274,98221,47.61
34,34 - BABUBARHI,3,ALOK KUMAR YADAV,Jan Suraaj Party,7688,52,7740,3.75
34,34 - BABUBARHI,4,KAMLESH KUMAR JHA,The Plurals Party,552,0,552,0.27
34,34 - BABUBARHI,5,JITENDRA KUMAR SINGH,Janshakti Vikas Party (Democratic),562,1,563,0.27
34,34 - BABUBARHI,6,DAYANAND KUMAR,Right to Recall Party,460,1,461,0.22
34,34 - BABUBARHI,7,NAVIN KUMAR THAKUR,Jagrook Janta Party,893,2,895,0.43
34,34 - BABUBARHI,8,MAHAVIR MANDAL,Samata Party,1557,2,1559,0.76
34,34 - BABUBARHI,9,SHANTI DEVI,Janshakti Janta Dal,2551,5,2556,1.24
34,34 - BABUBARHI,10,AMIR KUMAR MAHTO,Independent,2327,0,2327,1.13
34,34 - BABUBARHI,11,UMESH KUMAR YADAV,Independent,5546,1,5547,2.69
34,34 - BABUBARHI,12,NOTA,None of the Above,5245,3,5248,2.54
