Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
36,36 - MADHUBANI,1,SAMIR KUMAR MAHASETH,Rashtriya Janata Dal,76975,429,77404,36.65
36,36 - MADHUBANI,2,ANIL KUMAR MISHRA,Jan Suraaj Party,8379,74,8453,4
36,36 - MADHUBANI,3,GANESH PURBEY,Rashtriya Jansambhavna Party,1849,3,1852,0.88
36,36 - MADHUBANI,4,MADHAW ANAND,Rashtriya Lok Morcha,97743,213,97956,46.38
36,36 - MADHUBANI,5,RASHID KHALIL,All India Majlis-E-Ittehadul Muslimeen,12938,33,12971,6.14
36,36 - MADHUBANI,6,RAJIV KUMAR JHA,Right to Recall Party,1506,1,1507,0.71
36,36 - MADHUBANI,7,RAM SAGAR SHARMA,Jagrook Janta Party,4758,2,4760,2.25
36,36 - MADHUBANI,8,SUNENDRA KANT KARI,Samata Party,1362,1,1363,0.65
36,36 - MADHUBANI,9,MIHIR KUMAR JHA ALIAS MAHADEO JHA,Independent,1405,9,1414,0.67
36,36 - MADHUBANI,10,NOTA,None of the Above,3527,1,3528,1.67
