Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
38,38 - JHANJHARPUR,1,DEO KANT JHA,Aam Aadmi Party,2345,2,2347,1.22
38,38 - JHANJHARPUR,2,NITISH MISHRA,Bharatiya Janata Party,107671,287,107958,55.89
38,38 - JHANJHARPUR,3,BIRENDRA KUMAR SINGH,Bahujan Samaj Party,1604,11,1615,0.84
38,38 - JHANJHARPUR,4,KESHAVCHANDRA BHANDARI,Jan Suraaj Party,11493,70,11563,5.99
38,38 - JHANJHARPUR,5,NUTAN DAVE,Aam Janta Pragati Party,559,1,560,0.29
38,38 - JHANJHARPUR,6,RAM NARAYAN YADAV,Communist Party of India,52914,195,53109,27.5
38,38 - JHANJHARPUR,7,RAMNARAYAN SAHU,Vanchit Adhikar Party,1262,3,1265,0.65
38,38 - JHANJHARPUR,8,VIJAY KUMAR MANDAL,Socialist Unity Centre Of India (COMMUNIST),748,0,748,0.39
38,38 - JHANJHARPUR,9,ABDUL IRFAN,Independent,1992,0,1992,1.03
38,38 - JHANJHARPUR,10,UMAR AFTAB AFSAR,Independent,1025,4,1029,0.53
38,38 - JHANJHARPUR,11,OM PRAKASH PODDAR,Independent,1670,0,1670,0.86
38,38 - JHANJHARPUR,12,KRISHNA NARAYAN JHA,Independent,1674,1,1675,0.87
38,38 - JHANJHARPUR,13,KRISHNA KUMAR SAHU,Independent,4513,0,4513,2.34
38,38 - JHANJHARPUR,14,NOTA,None of the Above,3110,2,3112,1.61
