Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
39,39 - PHULPARAS,1,GAURI SHANKAR YADAV,Aam Aadmi Party,3630,5,3635,1.77
39,39 - PHULPARAS,2,VIJAY KUMAR,Bahujan Samaj Party,1882,14,1896,0.92
39,39 - PHULPARAS,3,SHEELA KUMARI,Janata Dal (United),93376,301,93677,45.65
39,39 - PHULPARAS,4,SUBODH MANDAL,Indian National Congress,79049,529,79578,38.78
39,39 - PHULPARAS,5,KRISHNA MOHAN,Ekta Dal United,2422,1,2423,1.18
39,39 - PHULPARAS,6,JALENDRA MISHRA,Jan Suraaj Party,6213,61,6274,3.06
39,39 - PHULPARAS,7,SWAMI SURESHANAND,Rashtriya Jansambhavna Party,1379,2,1381,0.67
39,39 - PHULPARAS,8,BAIJU SAFI,Independent,2871,1,2872,1.4
39,39 - PHULPARAS,9,RAM KUMAR YADAV,Independent,5551,2,5553,2.71
39,39 - PHULPARAS,10,VIJAY KUMAR CHAUDHARI,Independent,3718,10,3728,1.82
39,39 - PHULPARAS,11,NOTA,None of the Above,4198,8,4206,2.05
