Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
40,40 - LAUKAHA,1,BADRI MUKHIYA,Bahujan Samaj Party,2094,3,2097,0.91
40,40 - LAUKAHA,2,BHARAT BHUSHAN MANDAL,Rashtriya Janata Dal,85586,664,86250,37.37
40,40 - LAUKAHA,3,SATISH KUMAR SAH,Janata Dal (United),111415,346,111761,48.43
40,40 - LAUKAHA,4,KAPILESHWAR YADAV,Peoples Party of India (Democratic),1287,1,1288,0.56
40,40 - LAUKAHA,5,GURUDEO SINGH,Janshakti Vikas Party (Democratic),822,0,822,0.36
40,40 - LAUKAHA,6,RASLAL MANDAL,Samata Party,1142,1,1143,0.5
40,40 - LAUKAHA,7,RENU YADAV,Jan Suraaj Party,4541,38,4579,1.98
40,40 - LAUKAHA,8,SHASHI KUMAR BHARTI,Suheldev Bharatiya Samaj Party,1880,2,1882,0.82
40,40 - LAUKAHA,9,ARUN KUMAR SINGH,Independent,789,0,789,0.34
40,40 - LAUKAHA,10,INDRADEV JEE,Independent,1112,0,1112,0.48
40,40 - LAUKAHA,11,NIRMAL KUMAR JHA,Independent,1896,3,1899,0.82
40,40 - LAUKAHA,12,RAM LAKHAN YADAV,Independent,7623,29,7652,3.32
40,40 - LAUKAHA,13,SOMAN PANDIT,Independent,3751,3,3754,1.63
40,40 - LAUKAHA,14,NOTA,None of the Above,5751,4,5755,2.49
