Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
42,42 - PIPRA,1,ANIL KUMAR,Communist Party of India (Marxist-Leninist) (Liberation),68790,475,69265,31.06
42,42 - PIPRA,2,KALIM,Bahujan Samaj Party,2035,13,2048,0.92
42,42 - PIPRA,3,RAMBILASH KAMAT,Janata Dal (United),106641,400,107041,48
42,42 - PIPRA,4,ANJU KUMARI,Rashtriya Jansambhavna Party,2224,5,2229,1
42,42 - PIPRA,5,AMARENDRA KUMAR BHASKAR,"Proutist Bloc, India",1925,2,1927,0.86
42,42 - PIPRA,6,INDRADEV SAH,Jan Suraaj Party,5429,90,5519,2.47
42,42 - PIPRA,7,CHANDRA KISHOR YADAV,Jai Hind Party,1589,0,1589,0.71
42,42 - PIPRA,8,TRIBHUWAN KUMAR,Samata Party,1245,1,1246,0.56
42,42 - PIPRA,9,DUKHI LAL YADAV,Socialist Party (India),1252,0,1252,0.56
42,42 - PIPRA,10,RAMDEV YADAV,Socialist Unity Centre Of India (COMMUNIST),2455,5,2460,1.1
42,42 - PIPRA,11,NANDAN KUMAR,Independent,1965,1,1966,0.88
42,42 - PIPRA,12,LAXMI KANT BHARTI,Independent,11920,94,12014,5.39
42,42 - PIPRA,13,HEMA BHARTI,Independent,3761,11,3772,1.69
42,42 - PIPRA,14,NOTA,None of the Above,10685,6,10691,4.79
