Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
43,43 - SUPAUL,1,BIJENDRA PRASAD YADAV,Janata Dal (United),108562,523,109085,52.16
43,43 - SUPAUL,2,BRAJ BHUSHAN NAVIN,Aam Aadmi Party,1971,4,1975,0.94
43,43 - SUPAUL,3,MINNATULLAH RAHMANI,Indian National Congress,77747,535,78282,37.43
43,43 - SUPAUL,4,SUSHIL KUMAR,Bahujan Samaj Party,1685,8,1693,0.81
43,43 - SUPAUL,5,ANIL KUMAR SINGH,Jan Suraaj Party,5029,110,5139,2.46
43,43 - SUPAUL,6,GUNJA KUMARI,"Proutist Bloc, India",1152,2,1154,0.55
43,43 - SUPAUL,7,VINDESHWARI PRASAD,Proutist Sarva Samaj,1402,2,1404,0.67
43,43 - SUPAUL,8,SATYANARAYAN SHARMA,Jagrook Janta Party,2320,1,2321,1.11
43,43 - SUPAUL,9,SHAMBHU BABU,Independent,2856,17,2873,1.37
43,43 - SUPAUL,10,NOTA,None of the Above,5214,7,5221,2.5
