Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
45,45 - CHHATAPUR,1,NIRAJ KUMAR SINGH,Bharatiya Janata Party,122145,346,122491,49.18
45,45 - CHHATAPUR,2,VINOD KUMAR,Aam Aadmi Party,1903,5,1908,0.77
45,45 - CHHATAPUR,3,DR. VIPIN KUMAR SINGH,Rashtriya Janata Dal,105732,581,106313,42.69
45,45 - CHHATAPUR,4,SIKANDRA KUMAR MANDAL,Bahujan Samaj Party,1239,8,1247,0.5
45,45 - CHHATAPUR,5,ABHAY KUMAR SINGH,Jan Suraaj Party,2216,20,2236,0.9
45,45 - CHHATAPUR,6,KALIM MIYAN,Janta Dal Rashtravadi,567,1,568,0.23
45,45 - CHHATAPUR,7,DAYANAND MISHRA,Country Citizen Party,381,0,381,0.15
45,45 - CHHATAPUR,8,MD. FARAN,Apna Adhikar Party,290,1,291,0.12
45,45 - CHHATAPUR,9,BIPIN KUMAR YADAV,"Proutist Bloc, India",639,5,644,0.26
45,45 - CHHATAPUR,10,DEEPAK KUMAR,Independent,3967,26,3993,1.6
45,45 - CHHATAPUR,11,MANOJ KUMAR PASWAN,Independent,892,1,893,0.36
45,45 - CHHATAPUR,12,RAMESH KUMAR MEHTA,Independent,2210,2,2212,0.89
45,45 - CHHATAPUR,13,SADANAND SADA,Independent,1115,0,1115,0.45
45,45 - CHHATAPUR,14,NOTA,None of the Above,4763,4,4767,1.91
