Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
46,46 - NARPATGANJ,1,DEVANTI YADAV,Bharatiya Janata Party,120366,191,120557,49.89
46,46 - NARPATGANJ,2,MANISH YADAV,Rashtriya Janata Dal,94992,212,95204,39.4
46,46 - NARPATGANJ,3,AANANT KUMAR ROY,Rashtriya Jansambhavna Party,1694,2,1696,0.7
46,46 - NARPATGANJ,4,CHANDRESH KUMAR,Bhartiya Lok Chetna Party,290,0,290,0.12
46,46 - NARPATGANJ,5,JANARDAN YADAV,Jan Suraaj Party,1665,23,1688,0.7
46,46 - NARPATGANJ,6,PAPPU KUMAR SINGH,Rashtrawadi Janlok Party (Satya),281,0,281,0.12
46,46 - NARPATGANJ,7,MOHAMMAD ASLAM BEG,Apna Adhikar Party,235,2,237,0.1
46,46 - NARPATGANJ,8,LALIT KUMAR SAH,Prism,244,0,244,0.1
46,46 - NARPATGANJ,9,SHOAB ALAM,The National Road Map Party of India,278,0,278,0.12
46,46 - NARPATGANJ,10,AKHILESH KUMAR,Independent,1191,5,1196,0.49
46,46 - NARPATGANJ,11,ANIL KUMAR YADAV,Independent,10585,84,10669,4.42
46,46 - NARPATGANJ,12,ALOK KUMAR,Independent,628,2,630,0.26
46,46 - NARPATGANJ,13,JITENDRA YADAV,Independent,949,1,950,0.39
46,46 - NARPATGANJ,14,BECHAN RAM,Independent,1170,0,1170,0.48
46,46 - NARPATGANJ,15,SHRAVAN KUMAR DAS,Independent,3757,4,3761,1.56
46,46 - NARPATGANJ,16,NOTA,None of the Above,2796,0,2796,1.16
