Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
48,48 - FORBESGANJ,1,MANOJ BISHWAS,Indian National Congress,119798,316,120114,47.77
48,48 - FORBESGANJ,2,VIDYA SAGAR KESHARI,Bharatiya Janata Party,119618,275,119893,47.68
48,48 - FORBESGANJ,3,FATMA KHATUN,Rashtriya Jansambhavna Party,2149,2,2151,0.86
48,48 - FORBESGANJ,4,MOHAMMAD EKRAMUL HAQUE,Jan Suraaj Party,970,7,977,0.39
48,48 - FORBESGANJ,5,ABHA RANI,Independent,385,1,386,0.15
48,48 - FORBESGANJ,6,GIRANAND KUMAR,Independent,211,0,211,0.08
48,48 - FORBESGANJ,7,NAJIA IKBAL,Independent,191,0,191,0.08
48,48 - FORBESGANJ,8,PRADEEP PRIY MEHTA,Independent,181,0,181,0.07
48,48 - FORBESGANJ,9,MANOJ SADA,Independent,231,0,231,0.09
48,48 - FORBESGANJ,10,RAJA RAMAN BHASKAR,Independent,1743,16,1759,0.7
48,48 - FORBESGANJ,11,RAJESH KUMAR GUPTA,Independent,279,0,279,0.11
48,48 - FORBESGANJ,12,SUBHAN ANSARI,Independent,627,0,627,0.25
48,48 - FORBESGANJ,13,SUBHASH CHANDRA AGRAWAL,Independent,1325,0,1325,0.53
48,48 - FORBESGANJ,14,NOTA,None of the Above,3111,3,3114,1.24
