Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
49,49 - ARARIA,1,ABIDUR RAHMAN,Indian National Congress,91194,335,91529,37.81
49,49 - ARARIA,2,CHANDRA BHUSHAN,Aam Aadmi Party,2220,4,2224,0.92
49,49 - ARARIA,3,SHAGUFTA AZIM,Janata Dal (United),78484,304,78788,32.55
49,49 - ARARIA,4,MD. ASIF ALAM,Rashtriya Jansambhavna Party,1161,2,1163,0.48
49,49 - ARARIA,5,FARHAT ARA BEGUM,Jan Suraaj Party,2417,17,2434,1.01
49,49 - ARARIA,6,MD. MANZOOR ALAM,All India Majlis-E-Ittehadul Muslimeen,53379,42,53421,22.07
49,49 - ARARIA,7,MD. RASHID ANWER,Rashtriya Ulama Council,2344,7,2351,0.97
49,49 - ARARIA,8,A. GAFOOR,Independent,804,0,804,0.33
49,49 - ARARIA,9,VISHAL KUMAR ROY,Independent,1675,1,1676,0.69
49,49 - ARARIA,10,SHIVDEEP W LANDE,Independent,4002,83,4085,1.69
49,49 - ARARIA,11,NOTA,None of the Above,3604,6,3610,1.49
