Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
52,52 - BAHADURGANJ,1,MD MASOOM RAZA,Aam Aadmi Party,1240,0,1240,0.57
52,52 - BAHADURGANJ,2,MOHAMMAD KALIMUDDIN,Lok Janshakti Party (Ram Vilas),57087,108,57195,26.34
52,52 - BAHADURGANJ,3,MOHAMMED MASAWAR ALAM,Indian National Congress,58072,517,58589,26.98
52,52 - BAHADURGANJ,4,AHMAD HUSSIAN,The Plurals Party,1743,1,1744,0.8
52,52 - BAHADURGANJ,5,MD TAUSEEF ALAM,All India Majlis-E-Ittehadul Muslimeen,87136,179,87315,40.21
52,52 - BAHADURGANJ,6,BARUN KUMAR SINGH,Jan Suraaj Party,3171,22,3193,1.47
52,52 - BAHADURGANJ,7,TARIQUL AMIN,Independent,1130,0,1130,0.52
52,52 - BAHADURGANJ,8,MOHAMMAD KAUSAR PERWEZ,Independent,1195,0,1195,0.55
52,52 - BAHADURGANJ,9,ROHIT KUMAR JHA,Independent,1666,1,1667,0.77
52,52 - BAHADURGANJ,10,NOTA,None of the Above,3881,6,3887,1.79
