Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
53,53 - THAKURGANJ,1,KARAN LAL GANESH,Bahujan Samaj Party,1696,10,1706,0.69
53,53 - THAKURGANJ,2,GOPAL KUMAR AGARWAL,Janata Dal (United),84958,285,85243,34.71
53,53 - THAKURGANJ,3,SAUD ALAM,Rashtriya Janata Dal,59734,302,60036,24.45
53,53 - THAKURGANJ,4,MD EKRAMUL HAQUE,Jan Suraaj Party,6781,25,6806,2.77
53,53 - THAKURGANJ,5,GHULAM HASNAIN,All India Majlis-E-Ittehadul Muslimeen,76319,102,76421,31.12
53,53 - THAKURGANJ,6,MD FAIZAN AHMAD,Independent,1722,1,1723,0.7
53,53 - THAKURGANJ,7,BASUDEV SINGH,Independent,3804,10,3814,1.55
53,53 - THAKURGANJ,8,MUSHTAQUE,Independent,1419,0,1419,0.58
53,53 - THAKURGANJ,9,MOHAMMAD MUKTAR,Independent,2246,0,2246,0.91
53,53 - THAKURGANJ,10,SUJEET KUMAR PURVEY,Independent,2543,1,2544,1.04
53,53 - THAKURGANJ,11,NOTA,None of the Above,3604,5,3609,1.47
