Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
54,54 - KISHANGANJ,1,ASRAF ALAM,Aam Aadmi Party,1108,3,1111,0.49
54,54 - KISHANGANJ,2,MD. QAMRUL HODA,Indian National Congress,89325,344,89669,39.49
54,54 - KISHANGANJ,3,PRADEEP RAVIDAS,Bahujan Samaj Party,1365,4,1369,0.6
54,54 - KISHANGANJ,4,SWEETY SINGH,Bharatiya Janata Party,76667,208,76875,33.86
54,54 - KISHANGANJ,5,MD. ISHAQUE ALAM,Jan Suraaj Party,1900,4,1904,0.84
54,54 - KISHANGANJ,6,MD TARIQ ANWAR,Janshakti Janta Dal,749,0,749,0.33
54,54 - KISHANGANJ,7,SHAMS AGHAZ,All India Majlis-E-Ittehadul Muslimeen,51301,69,51370,22.63
54,54 - KISHANGANJ,8,ABDUR RAHMAN,Independent,925,1,926,0.41
54,54 - KISHANGANJ,9,PERWEZ ALAM,Independent,665,0,665,0.29
54,54 - KISHANGANJ,10,MD WASIM,Independent,906,0,906,0.4
54,54 - KISHANGANJ,11,NOTA,None of the Above,1493,5,1498,0.66
