Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
56,56 - AMOUR,1,ABDUL JALIL MASTAN,Indian National Congress,52685,106,52791,22.77
56,56 - AMOUR,2,MD MUNTAZIR ALAM,Aam Aadmi Party,2310,0,2310,1
56,56 - AMOUR,3,LAKSHMI KUMARI,Bahujan Samaj Party,791,0,791,0.34
56,56 - AMOUR,4,SABA ZAFAR,Janata Dal (United),61813,95,61908,26.71
56,56 - AMOUR,5,AKHTARUL IMAN,All India Majlis-E-Ittehadul Muslimeen,100756,80,100836,43.5
56,56 - AMOUR,6,AFAROJ,Jan Suraaj Party,3797,5,3802,1.64
56,56 - AMOUR,7,MOHD PARVEJ ALAM,Independent,4585,0,4585,1.98
56,56 - AMOUR,8,MAHFOOZ ALAM,Independent,783,0,783,0.34
56,56 - AMOUR,9,LOGEN LAL DAS,Independent,815,0,815,0.35
56,56 - AMOUR,10,NOTA,None of the Above,3187,0,3187,1.37
