Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
58,58 - KASBA,1,MD. IRFAN ALAM,Indian National Congress,73856,146,74002,31.36
58,58 - KASBA,2,NITESH KUMAR SINGH,Lok Janshakti Party (Ram Vilas),86819,58,86877,36.81
58,58 - KASBA,3,BHANU BHARATIYA,Aam Aadmi Party,1092,2,1094,0.46
58,58 - KASBA,4,SANOJ KUMAR CHAUHAN,Bahujan Samaj Party,414,1,415,0.18
58,58 - KASBA,5,MD. ITTEFAQUE ALAM,Jan Suraaj Party,3421,9,3430,1.45
58,58 - KASBA,6,KANHAIYA LAL MANDAL,Peoples Party of India (Democratic),452,0,452,0.19
58,58 - KASBA,7,MUZAMMIL HASAN MAZHARI,Social Democratic Party Of India,1229,0,1229,0.52
58,58 - KASBA,8,MD SHAHNAWAZ ALAM,All India Majlis-E-Ittehadul Muslimeen,35286,23,35309,14.96
58,58 - KASBA,9,MD. AFAQUE ALAM,Independent,6005,39,6044,2.56
58,58 - KASBA,10,PRADEEP KUMAR DAS,Independent,11151,61,11212,4.75
58,58 - KASBA,11,RAJENDRA YADAV,Independent,2668,7,2675,1.13
58,58 - KASBA,12,SUBODH RISHIDEV,Independent,6672,2,6674,2.83
58,58 - KASBA,13,HAYAT ASHRAF,Independent,2546,0,2546,1.08
58,58 - KASBA,14,NOTA,None of the Above,4048,2,4050,1.72
