Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
60,60 - RUPAULI,1,KALADHAR PRASAD MANDAL,Janata Dal (United),124714,112,124826,55.45
60,60 - RUPAULI,2,JAINENDRA KUMAR,Bahujan Samaj Party,1102,3,1105,0.49
60,60 - RUPAULI,3,BIMA BHARTI,Rashtriya Janata Dal,51176,78,51254,22.77
60,60 - RUPAULI,4,VIKASH KUMAR MANDAL,Aam Aadmi Party,1310,0,1310,0.58
60,60 - RUPAULI,5,AWADH KISHOR SHARMA,Rashtriya Samaj Paksha,606,1,607,0.27
60,60 - RUPAULI,6,AMOD KUMAR,Jan Suraaj Party,3036,12,3048,1.35
60,60 - RUPAULI,7,PRAMOD KUMAR MANDAL,Republican Party of India (A),546,0,546,0.24
60,60 - RUPAULI,8,MOHAMMAD NAFIS MANSURI,The National Road Map Party of India,427,0,427,0.19
60,60 - RUPAULI,9,RAJEEV KUMAR,Rashtriya Jansambhavna Party,352,1,353,0.16
60,60 - RUPAULI,10,ASHOK MANDAL,Independent,355,0,355,0.16
60,60 - RUPAULI,11,MD. GULJAR,Independent,475,0,475,0.21
60,60 - RUPAULI,12,NITYA MANDAL,Independent,575,0,575,0.26
60,60 - RUPAULI,13,NEELAM DEVI,Independent,1251,0,1251,0.56
60,60 - RUPAULI,14,SHANKAR RAM,Independent,3115,0,3115,1.38
60,60 - RUPAULI,15,SHANKAR SINGH,Independent,29932,54,29986,13.32
60,60 - RUPAULI,16,NOTA,None of the Above,5862,0,5862,2.6
