Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
61,61 - DHAMDAHA,1,LESHI SINGH,Janata Dal (United),138613,137,138750,57.32
61,61 - DHAMDAHA,2,SANTOSH KUMAR,Rashtriya Janata Dal,83472,119,83591,34.53
61,61 - DHAMDAHA,3,MOHD ISHTIYAQUE ALAM,All India Majlis-E-Ittehadul Muslimeen,5123,3,5126,2.12
61,61 - DHAMDAHA,4,BHAGWAN MAREYA,Rashtriya Jansambhavna Party,417,0,417,0.17
61,61 - DHAMDAHA,5,MANOJ SHARMA,Jagrook Janta Party,248,1,249,0.1
61,61 - DHAMDAHA,6,RAKESH KUMAR,Jan Suraaj Party,1800,4,1804,0.75
61,61 - DHAMDAHA,7,KUMARI KUMKUM RANI,Independent,365,0,365,0.15
61,61 - DHAMDAHA,8,CHAND LAL URANV,Independent,578,3,581,0.24
61,61 - DHAMDAHA,9,PRADIP YADAV,Independent,447,0,447,0.18
61,61 - DHAMDAHA,10,RAMAN KUMAR,Independent,922,0,922,0.38
61,61 - DHAMDAHA,11,VINDESHWARI SHARMA,Independent,3032,0,3032,1.25
61,61 - DHAMDAHA,12,NOTA,None of the Above,6779,2,6781,2.8
