Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
62,62 - PURNIA,1,ADITYA LAL,Aam Aadmi Party,976,4,980,0.42
62,62 - PURNIA,2,JITENDRA KUMAR,Indian National Congress,94120,272,94392,40.53
62,62 - PURNIA,3,RAJIV KUMAR ROY,Bahujan Samaj Party,1124,4,1128,0.48
62,62 - PURNIA,4,VIJAY KUMAR KHEMKA,Bharatiya Janata Party,127340,274,127614,54.79
62,62 - PURNIA,5,SANTOSH KUMAR SINGH,Jan Suraaj Party,3670,31,3701,1.59
62,62 - PURNIA,6,AJAY SWARN,Independent,507,0,507,0.22
62,62 - PURNIA,7,ASLAM AZAD,Independent,1017,0,1017,0.44
62,62 - PURNIA,8,KANEEZ FATMA,Independent,914,5,919,0.39
62,62 - PURNIA,9,LAKHENDAR SAH,Independent,1224,1,1225,0.53
62,62 - PURNIA,10,NOTA,None of the Above,1434,2,1436,0.62
