Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
63,63 - KATIHAR,1,TARKISHORE PRASAD,Bharatiya Janata Party,100005,250,100255,50.52
63,63 - KATIHAR,2,RAJESH GURNANI,Aam Aadmi Party,1066,6,1072,0.54
63,63 - KATIHAR,3,AHMAD RAZA,All India Majlis-E-Inquilab-E-Millat,1202,3,1205,0.61
63,63 - KATIHAR,4,DR. GHAZI SHARIQUE,Jan Suraaj Party,2823,30,2853,1.44
63,63 - KATIHAR,5,JHANTU URAON,Bharat Jago Janta Party,549,1,550,0.28
63,63 - KATIHAR,6,MANISHA KUMARI,Peoples Party of India (Democratic),3250,3,3253,1.64
63,63 - KATIHAR,7,SAURAV KUMAR AGARWAL,Vikassheel Insaan Party,77829,272,78101,39.36
63,63 - KATIHAR,8,JANARDAN SINGH,Independent,655,1,656,0.33
63,63 - KATIHAR,9,DR. RAM PRAKASH MAHTO,Independent,7332,79,7411,3.73
63,63 - KATIHAR,10,Sanjay Singh @ Bhai Sanjiv,Independent,504,0,504,0.25
63,63 - KATIHAR,11,SAMIR KUMAR JHA,Independent,410,0,410,0.21
63,63 - KATIHAR,12,NOTA,None of the Above,2169,9,2178,1.1
