Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
64,64 - KADWA,1,DULAL CHANDRA GOSWAMI,Janata Dal (United),99182,92,99274,46.57
64,64 - KADWA,2,VIDYANAND MANDAL,Bahujan Samaj Party,1110,4,1114,0.52
64,64 - KADWA,3,SHAKEEL AHMAD KHAN,Indian National Congress,80699,207,80906,37.96
64,64 - KADWA,4,ANMOL KUMAR,Voters Party International,984,0,984,0.46
64,64 - KADWA,5,MD. SHAHARYAR,Jan Suraaj Party,1161,8,1169,0.55
64,64 - KADWA,6,MD SHAKIR REZA,All India Majlis-E-Ittehadul Muslimeen,11545,12,11557,5.42
64,64 - KADWA,7,MD. SHAMIUDDIN,Minorities Democratic Party,822,0,822,0.39
64,64 - KADWA,8,SUNIL KUMAR MANDAL,Peoples Party of India (Democratic),339,0,339,0.16
64,64 - KADWA,9,ASHA SUMAN,Independent,869,5,874,0.41
64,64 - KADWA,10,PRAMOD DAS,Independent,380,1,381,0.18
64,64 - KADWA,11,MOHAMMAD RAZAUL HAQUE,Independent,601,3,604,0.28
64,64 - KADWA,12,RAJEEV RANJAN,Independent,891,0,891,0.42
64,64 - KADWA,13,SAJAN KUMAR,Independent,876,1,877,0.41
64,64 - KADWA,14,SADIQ HUSSAIN,Independent,2961,6,2967,1.39
64,64 - KADWA,15,SURESH YADAV,Independent,961,2,963,0.45
64,64 - KADWA,16,HIMRAJ SINGH,Independent,5605,10,5615,2.63
64,64 - KADWA,17,NOTA,None of the Above,3817,1,3818,1.79
