Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
65,65 - BALRAMPUR,1,PRIYA KUMARI ROY,Bahujan Samaj Party,1435,3,1438,0.52
65,65 - BALRAMPUR,2,MAHBOOB ALAM,Communist Party of India (Marxist-Leninist) (Liberation),78933,208,79141,28.56
65,65 - BALRAMPUR,3,SANGITA DEVI,Lok Janshakti Party (Ram Vilas),80349,110,80459,29.04
65,65 - BALRAMPUR,4,ASHAB ALAM,Jan Suraaj Party,2612,2,2614,0.94
65,65 - BALRAMPUR,5,MOHAMMAD ADIL HASAN,All India Majlis-E-Ittehadul Muslimeen,79998,72,80070,28.9
65,65 - BALRAMPUR,6,MD SHAHID SHAIKH,The Plurals Party,885,0,885,0.32
65,65 - BALRAMPUR,7,AJAD KHA,Independent,645,0,645,0.23
65,65 - BALRAMPUR,8,MD AFTAB ALAM RUKNAVI,Independent,1015,1,1016,0.37
65,65 - BALRAMPUR,9,MD KAMALUDDIN,Independent,537,0,537,0.19
65,65 - BALRAMPUR,10,MD ZINNAH,Independent,3430,16,3446,1.24
65,65 - BALRAMPUR,11,TANWEER SHAMSI,Independent,775,0,775,0.28
65,65 - BALRAMPUR,12,MD NASRUL HAQUE,Independent,2080,0,2080,0.75
65,65 - BALRAMPUR,13,BARUN KUMAR JHA,Independent,5366,6,5372,1.94
65,65 - BALRAMPUR,14,MD MOAZZAM HUSSAIN,Independent,9159,36,9195,3.32
65,65 - BALRAMPUR,15,ROSHAN AGRAWAL,Independent,2278,4,2282,0.82
65,65 - BALRAMPUR,16,SHAKIR ALAM,Independent,1442,0,1442,0.52
65,65 - BALRAMPUR,17,SUJIT PASWAN,Independent,843,1,844,0.3
65,65 - BALRAMPUR,18,HAJI SHAFIQUL HAQUE PRADHAN,Independent,1648,0,1648,0.59
65,65 - BALRAMPUR,19,NOTA,None of the Above,3184,1,3185,1.15
