Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
66,66 - PRANPUR,1,ISHRAT PARWEEN,Rashtriya Janata Dal,100575,238,100813,39.61
66,66 - PRANPUR,2,NISHA SINGH,Bharatiya Janata Party,108453,112,108565,42.65
66,66 - PRANPUR,3,PREM KUMAR MANDAL,Bahujan Samaj Party,1260,5,1265,0.5
66,66 - PRANPUR,4,MD AFTAB ALAM,All India Majlis-E-Ittehadul Muslimeen,30111,52,30163,11.85
66,66 - PRANPUR,5,KUNAL NISHAD,Jan Suraaj Party,2456,11,2467,0.97
66,66 - PRANPUR,6,SUBHASH KUMAR YADAV,Sampoorna Bharat Kranti Party,943,0,943,0.37
66,66 - PRANPUR,7,ABDUS SALAM,Independent,520,0,520,0.2
66,66 - PRANPUR,8,MD NAIYAR ALAM,Independent,293,0,293,0.12
66,66 - PRANPUR,9,MANOJ MURMU,Independent,1261,2,1263,0.5
66,66 - PRANPUR,10,MOHAMMAD MUSHA,Independent,639,1,640,0.25
66,66 - PRANPUR,11,SANJAY KUMAR,Independent,975,1,976,0.38
66,66 - PRANPUR,12,SATYA NARAYAN MANDAL,Independent,1263,0,1263,0.5
66,66 - PRANPUR,13,SUBHASHCHANDRA SAH,Independent,2048,0,2048,0.8
66,66 - PRANPUR,14,NOTA,None of the Above,3313,0,3313,1.3
