Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
68,68 - BARARI,1,TAUQUIR ALAM,Indian National Congress,96496,362,96858,42.37
68,68 - BARARI,2,DWARIKA MANDAL,Bahujan Samaj Party,1267,4,1271,0.56
68,68 - BARARI,3,BIJAY SINGH,Janata Dal (United),107689,153,107842,47.18
68,68 - BARARI,4,PRITAM PRASOON,Jan Suraaj Party,3007,19,3026,1.32
68,68 - BARARI,5,MD MATIUR RAHMAN,All India Majlis-E-Ittehadul Muslimeen,5840,6,5846,2.56
68,68 - BARARI,6,MD MAHBOOB,Bharat Jago Janta Party,377,1,378,0.17
68,68 - BARARI,7,RATAN KUMAR,Vikas Vanchit Insan Party,255,0,255,0.11
68,68 - BARARI,8,ARUN KUMAR JAISWAL,Independent,368,1,369,0.16
68,68 - BARARI,9,MD NASIM,Independent,744,0,744,0.33
68,68 - BARARI,10,NIRANJAN KUMAR JHA,Independent,420,0,420,0.18
68,68 - BARARI,11,MD MOJAHID ALAM,Independent,546,0,546,0.24
68,68 - BARARI,12,RAJ KISHOR YADAV,Independent,1450,3,1453,0.64
68,68 - BARARI,13,SHIVPUJAN PASWAN,Independent,4961,1,4962,2.17
68,68 - BARARI,14,SATYA NARAYAN AGRAWAL,Independent,1577,0,1577,0.69
68,68 - BARARI,15,NOTA,None of the Above,3047,0,3047,1.33
