Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
70,70 - ALAMNAGAR,1,NARENDRA NARAYAN YADAV,Janata Dal (United),138291,110,138401,53.98
70,70 - ALAMNAGAR,2,AKHATAR MANSURI,The National Road Map Party of India,2574,2,2576,1
70,70 - ALAMNAGAR,3,NABIN KUMAR,Vikassheel Insaan Party,82874,62,82936,32.35
70,70 - ALAMNAGAR,4,MOHAN SHARMA,Rashtriya Jansambhavna Party,1790,1,1791,0.7
70,70 - ALAMNAGAR,5,SUBODH KUMAR SUMAN,Jan Suraaj Party,8916,18,8934,3.48
70,70 - ALAMNAGAR,6,AMAR KUMAR SINGH,Independent,1042,1,1043,0.41
70,70 - ALAMNAGAR,7,CHANO RISHIDEV,Independent,2160,1,2161,0.84
70,70 - ALAMNAGAR,8,BINOD ASHISH,Independent,2707,0,2707,1.06
70,70 - ALAMNAGAR,9,RUBI KUMARI,Independent,4692,3,4695,1.83
70,70 - ALAMNAGAR,10,VIKRAM KUMAR GUPTA,Independent,3177,1,3178,1.24
70,70 - ALAMNAGAR,11,NOTA,None of the Above,7958,1,7959,3.1
