Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
73,73 - MADHEPURA,1,KAVITA KUMARI SAHA,Janata Dal (United),100579,76,100655,42.01
73,73 - MADHEPURA,2,CHANDRA SHEKHAR,Rashtriya Janata Dal,108342,122,108464,45.27
73,73 - MADHEPURA,3,MUKESH KUMAR,Aam Aadmi Party,3647,5,3652,1.52
73,73 - MADHEPURA,4,LALAN KUMAR RAM,Bahujan Samaj Party,775,6,781,0.33
73,73 - MADHEPURA,5,KAMESHWAR YADAV,Aadarsh Mithila Party,447,1,448,0.19
73,73 - MADHEPURA,6,PRADEEP KUMAR,Jagrook Janta Party,496,1,497,0.21
73,73 - MADHEPURA,7,MOHAMMAD ASIF ALAM,The National Road Map Party of India,888,1,889,0.37
73,73 - MADHEPURA,8,SHASHI KUMAR,Jan Suraaj Party,4618,16,4634,1.93
73,73 - MADHEPURA,9,SANJAY YADAV,Janshakti Janta Dal,1277,1,1278,0.53
73,73 - MADHEPURA,10,SURENDRA YADAV,"Proutist Bloc, India",1751,0,1751,0.73
73,73 - MADHEPURA,11,PRANAV PRAKASH,Independent,7873,21,7894,3.29
73,73 - MADHEPURA,12,SANJAY KUMAR,Independent,2818,1,2819,1.18
73,73 - MADHEPURA,13,NOTA,None of the Above,5827,1,5828,2.43
