Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
75,75 - SAHARSA,1,AJABLAL MEHTA,Bahujan Samaj Party,2225,11,2236,0.86
75,75 - SAHARSA,2,ALOK RANJAN,Bharatiya Janata Party,112622,376,112998,43.5
75,75 - SAHARSA,3,AMAR SHANKAR,Swadhinta Party,2960,4,2964,1.14
75,75 - SAHARSA,4,INDRAJEET PRASAD GUPTA,Indian Inclusive Party,114498,538,115036,44.28
75,75 - SAHARSA,5,KISHOR KUMAR,Jan Suraaj Party,12655,131,12786,4.92
75,75 - SAHARSA,6,BITTU KUMAR,Rashtriya Samaj Paksha,855,2,857,0.33
75,75 - SAHARSA,7,MD AMIRUL HASAN,Rashtriya Jansambhavna Party,2302,2,2304,0.89
75,75 - SAHARSA,8,DEVCHANDRA YADAV,Independent,4335,18,4353,1.68
75,75 - SAHARSA,9,MOHAMMAD NAZIR,Independent,1550,17,1567,0.6
75,75 - SAHARSA,10,RAMESH SAH,Independent,2051,4,2055,0.79
75,75 - SAHARSA,11,NOTA,None of the Above,2597,10,2607,1
