Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
76,76 - SIMRI BAKHTIARPUR,1,YUSUF SALAHUDDIN,Rashtriya Janata Dal,101257,512,101769,43.54
76,76 - SIMRI BAKHTIARPUR,2,SANJAY KUMAR SINGH,Lok Janshakti Party (Ram Vilas),109403,296,109699,46.94
76,76 - SIMRI BAKHTIARPUR,3,SUNITA DEVI,Bahujan Samaj Party,1379,8,1387,0.59
76,76 - SIMRI BAKHTIARPUR,4,PINTU KUMAR SHARMA,Jagrook Janta Party,523,8,531,0.23
76,76 - SIMRI BAKHTIARPUR,5,BIBHUTI SINGH,Rashtrawadi Janlok Party (Satya),253,3,256,0.11
76,76 - SIMRI BAKHTIARPUR,6,SURENDRA KUMAR YADAV,Jan Suraaj Party,2233,37,2270,0.97
76,76 - SIMRI BAKHTIARPUR,7,AWDHESH KUMAR,Independent,333,0,333,0.14
76,76 - SIMRI BAKHTIARPUR,8,ANAND RANJAN,Independent,258,0,258,0.11
76,76 - SIMRI BAKHTIARPUR,9,DOMI SHARMA,Independent,535,1,536,0.23
76,76 - SIMRI BAKHTIARPUR,10,PANKAJ KUMAR,Independent,419,1,420,0.18
76,76 - SIMRI BAKHTIARPUR,11,BARUN KUMAR YADAV,Independent,1081,0,1081,0.46
76,76 - SIMRI BAKHTIARPUR,12,YAPURA WADAT,Independent,565,0,565,0.24
76,76 - SIMRI BAKHTIARPUR,13,YOGBIR ROY,Independent,695,0,695,0.3
76,76 - SIMRI BAKHTIARPUR,14,RAJKUMAR SADA,Independent,1435,1,1436,0.61
76,76 - SIMRI BAKHTIARPUR,15,VIKASH RAJ,Independent,7487,6,7493,3.21
76,76 - SIMRI BAKHTIARPUR,16,NOTA,None of the Above,4993,3,4996,2.14
