Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
77,77 - MAHISHI,1,GUNJESHWAR SAH,Janata Dal (United),89739,273,90012,44.35
77,77 - MAHISHI,2,GAUTAM KRISHNA,Rashtriya Janata Dal,93246,506,93752,46.19
77,77 - MAHISHI,3,PRIYANKA ANAND,Bahujan Samaj Party,1202,5,1207,0.59
77,77 - MAHISHI,4,VIJAY KUMAR GUPTA,Aam Aadmi Party,846,1,847,0.42
77,77 - MAHISHI,5,DEVNARAYAN YADAV,Janshakti Janta Dal,336,2,338,0.17
77,77 - MAHISHI,6,SHAMIM AKHTAR,Jan Suraaj Party,2534,37,2571,1.27
77,77 - MAHISHI,7,ARVIND KUMAR,Independent,651,2,653,0.32
77,77 - MAHISHI,8,TIRO SHARMA,Independent,329,1,330,0.16
77,77 - MAHISHI,9,MAHARUDRA JHA,Independent,397,1,398,0.2
77,77 - MAHISHI,10,RANJIT SADA,Independent,757,1,758,0.37
77,77 - MAHISHI,11,RAJA KUMAR,Independent,567,0,567,0.28
77,77 - MAHISHI,12,RAHUL PASWAN,Independent,518,1,519,0.26
77,77 - MAHISHI,13,SUSHIL KUMAR RAJAK,Independent,1199,2,1201,0.59
77,77 - MAHISHI,14,SURAJ SAMRAT,Independent,3142,0,3142,1.55
77,77 - MAHISHI,15,NOTA,None of the Above,6668,3,6671,3.29
