Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
78,78 - KUSHESHWAR ASTHAN,1,ATIREK KUMAR,Janata Dal (United),85453,232,85685,52.25
78,78 - KUSHESHWAR ASTHAN,2,YOGI CHAUPAL,Aam Aadmi Party,3459,5,3464,2.11
78,78 - KUSHESHWAR ASTHAN,3,DUKHI RAM RASIYA,Aam Janta Pragati Party,792,5,797,0.49
78,78 - KUSHESHWAR ASTHAN,4,SHATRUDHAN PASWAN,Jan Suraaj Party,6458,30,6488,3.96
78,78 - KUSHESHWAR ASTHAN,5,SATYA NARAYAN PASWAN,Mazdoor Ekta Party,5127,0,5127,3.13
78,78 - KUSHESHWAR ASTHAN,6,GANGA PASWAN,Independent,1206,0,1206,0.74
78,78 - KUSHESHWAR ASTHAN,7,GANESH BHARTI,Independent,48982,262,49244,30.03
78,78 - KUSHESHWAR ASTHAN,8,JEEBACHH KUMAR HAJARI,Independent,1198,3,1201,0.73
78,78 - KUSHESHWAR ASTHAN,9,SHREEMATI ANJU DEVI,Independent,2138,4,2142,1.31
78,78 - KUSHESHWAR ASTHAN,10,SACHIDANAND PASWAN,Independent,2170,1,2171,1.32
78,78 - KUSHESHWAR ASTHAN,11,NOTA,None of the Above,6446,5,6451,3.93
