Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
79,79 - GAURA BAURAM,1,AFZAL ALI KHAN,Rashtriya Janata Dal,71646,367,72013,42.81
79,79 - GAURA BAURAM,2,SUJIT KUMAR,Bharatiya Janata Party,77446,236,77682,46.18
79,79 - GAURA BAURAM,3,AKHTAR SHAHANSHA,All India Majlis-E-Ittehadul Muslimeen,3231,12,3243,1.93
79,79 - GAURA BAURAM,4,DR MD IFTEKHAR ALAM,Jan Suraaj Party,2495,11,2506,1.49
79,79 - GAURA BAURAM,5,SANTOSH SAHANI,Vikassheel Insaan Party,341,52,393,0.23
79,79 - GAURA BAURAM,6,SAROJ CHAUDHARY,Mithilanchal Mukti Morcha,279,0,279,0.17
79,79 - GAURA BAURAM,7,SONI DEVI,Rashtriya Janwadi Party (Socialist),183,0,183,0.11
79,79 - GAURA BAURAM,8,KRISHAN KUMAR,Independent,209,0,209,0.12
79,79 - GAURA BAURAM,9,NAND KISHORE SHARMA,Independent,349,1,350,0.21
79,79 - GAURA BAURAM,10,PANKAJ KUMAR SAHU,Independent,437,0,437,0.26
79,79 - GAURA BAURAM,11,BACHELAL JHA,Independent,716,0,716,0.43
79,79 - GAURA BAURAM,12,SHYAM SUNDAR CHOUDHARY,Independent,6524,25,6549,3.89
79,79 - GAURA BAURAM,13,NOTA,None of the Above,3662,1,3663,2.18
