Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
80,80 - BENIPUR,1,PRAMOD PASWAN,Bahujan Samaj Party,1992,9,2001,1.06
80,80 - BENIPUR,2,MITHILESH KUMAR CHOUDHARY,Indian National Congress,70205,399,70604,37.48
80,80 - BENIPUR,3,BINAY KUMAR CHOUDHARY,Janata Dal (United),83781,426,84207,44.7
80,80 - BENIPUR,4,AMRESH KUMAR AMAR,Jan Suraaj Party,6519,39,6558,3.48
80,80 - BENIPUR,5,PRAMILA JHA,Bhartiya Mahasangh Party,712,2,714,0.38
80,80 - BENIPUR,6,PRAMOD KUMAR SAHU,Rashtriya Samajwadi Lok Adhikar Party,564,1,565,0.3
80,80 - BENIPUR,7,VIDYANAND RAM,Wazib Adhikar Party,815,1,816,0.43
80,80 - BENIPUR,8,SHANKAR DOM URF SHANKAR MALLIK,Aam Janta Pragati Party,391,1,392,0.21
80,80 - BENIPUR,9,SIYA LAKHAN YADAV,Open people's Party,862,1,863,0.46
80,80 - BENIPUR,10,AMARJEE MISHRA,Independent,697,2,699,0.37
80,80 - BENIPUR,11,AVADHESH KUMAR JHA,Independent,5400,28,5428,2.88
80,80 - BENIPUR,12,IMTIYAZ AHMAD,Independent,1419,3,1422,0.75
80,80 - BENIPUR,13,CHUN CHUN JHA,Independent,6531,1,6532,3.47
80,80 - BENIPUR,14,MAHENDRA NARAYAN MAHTO,Independent,4457,0,4457,2.37
80,80 - BENIPUR,15,NOTA,None of the Above,3103,5,3108,1.65
