Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
81,81 - ALINAGAR,1,MAITHILI THAKUR,Bharatiya Janata Party,84611,304,84915,49.05
81,81 - ALINAGAR,2,RAJIPAL JHA,Aam Aadmi Party,1484,0,1484,0.86
81,81 - ALINAGAR,3,BINOD MISHRA,Rashtriya Janata Dal,72639,546,73185,42.27
81,81 - ALINAGAR,4,NAVIJAN ANSARI,Aam Janta Pragati Party,671,0,671,0.39
81,81 - ALINAGAR,5,NOORUDDIN ZANGI,Social Democratic Party Of India,310,2,312,0.18
81,81 - ALINAGAR,6,BIPLAW KUMAR CHOUDHARY,Jan Suraaj Party,2259,16,2275,1.31
81,81 - ALINAGAR,7,SANJAY KUMAR JHA,Mithilawadi party,418,4,422,0.24
81,81 - ALINAGAR,8,SITAMBAR SHARMA,Jagrook Janta Party,331,0,331,0.19
81,81 - ALINAGAR,9,GANESH CHOUDHARY,Independent,317,3,320,0.18
81,81 - ALINAGAR,10,CHANDU CHAUDHRY,Independent,776,2,778,0.45
81,81 - ALINAGAR,11,SAIFUDDIN AHMED,Independent,2792,11,2803,1.62
81,81 - ALINAGAR,12,HARI LAL SHARMA,Independent,869,1,870,0.5
81,81 - ALINAGAR,13,NOTA,None of the Above,4748,3,4751,2.74
