Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
82,82 - DARBHANGA RURAL,1,JAGAT NARAYAN NAYAK,Bahujan Samaj Party,2117,1,2118,1.16
82,82 - DARBHANGA RURAL,2,RAJESH KUMAR MANDAL,Janata Dal (United),80355,269,80624,44.05
82,82 - DARBHANGA RURAL,3,LALIT KUMAR YADAV,Rashtriya Janata Dal,61902,330,62232,34
82,82 - DARBHANGA RURAL,4,MD JALALUDDIN SAHIL,All India Majlis-E-Ittehadul Muslimeen,16966,42,17008,9.29
82,82 - DARBHANGA RURAL,5,PRADEEP KUMAR MISHRA,Aam Janta Pragati Party,471,1,472,0.26
82,82 - DARBHANGA RURAL,6,MOHAMMAD KALAM,Bharat Jan Jagran Dal,744,0,744,0.41
82,82 - DARBHANGA RURAL,7,ROSHAN,Vikas Insaf Party,427,0,427,0.23
82,82 - DARBHANGA RURAL,8,SHOAIB AHMED KHAN,Jan Suraaj Party,3792,22,3814,2.08
82,82 - DARBHANGA RURAL,9,ABDUL QUDDUS,Independent,638,1,639,0.35
82,82 - DARBHANGA RURAL,10,UDAY CHANDRA CHAUPAL,Independent,585,0,585,0.32
82,82 - DARBHANGA RURAL,11,JAI KISHUN SAHNI,Independent,2330,0,2330,1.27
82,82 - DARBHANGA RURAL,12,RAM SUKAMAR YADAV,Independent,2900,1,2901,1.58
82,82 - DARBHANGA RURAL,13,SHYAM PASWAN,Independent,4637,1,4638,2.53
82,82 - DARBHANGA RURAL,14,NOTA,None of the Above,4510,6,4516,2.47
