Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
83,83 - DARBHANGA,1,DURGA NANDA MAHAVIR NAYAK,Bahujan Samaj Party,938,15,953,0.49
83,83 - DARBHANGA,2,SANJAY SARAOGI,Bharatiya Janata Party,96952,501,97453,49.66
83,83 - DARBHANGA,3,ABHISHEK KUMAR JHA,Mithilawadi party,1624,4,1628,0.83
83,83 - DARBHANGA,4,ASHISH RANJAN,Aam Janta Pragati Party,1511,2,1513,0.77
83,83 - DARBHANGA,5,UMESH SAHANI,Vikassheel Insaan Party,72465,395,72860,37.13
83,83 - DARBHANGA,6,PUSHPAM PRIYA,The Plurals Party,1396,7,1403,0.71
83,83 - DARBHANGA,7,RAKESH KUMAR MISHRA,Jan Suraaj Party,11610,148,11758,5.99
83,83 - DARBHANGA,8,MOJAHID ALAM,Socialist Unity Centre Of India (COMMUNIST),343,2,345,0.18
83,83 - DARBHANGA,9,RANJEET KUMAR RAM,Wazib Adhikar Party,851,1,852,0.43
83,83 - DARBHANGA,10,MD SHAQUIB NAJMI,Akhil Bharatiya Socialist Party,1853,3,1856,0.95
83,83 - DARBHANGA,11,MOHAMMAD AMAJAD KHAN,Independent,465,5,470,0.24
83,83 - DARBHANGA,12,MD NAFISUL HAQUE,Independent,2270,44,2314,1.18
83,83 - DARBHANGA,13,SUJEET KUMAR CHAUDHARY,Independent,1363,0,1363,0.69
83,83 - DARBHANGA,14,NOTA,None of the Above,1453,15,1468,0.75
