Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
84,84 - HAYAGHAT,1,NAGESHWAR DAS,Bahujan Samaj Party,1107,8,1115,0.66
84,84 - HAYAGHAT,2,RAVINDRA NATH SINGH,Aam Aadmi Party,1906,16,1922,1.14
84,84 - HAYAGHAT,3,RAM CHANDRA PRASAD,Bharatiya Janata Party,76915,307,77222,45.68
84,84 - HAYAGHAT,4,SHYAM BHARTI,Communist Party of India (Marxist),64951,432,65383,38.68
84,84 - HAYAGHAT,5,IRSHAD ALI,Desh Janhit Party,1195,5,1200,0.71
84,84 - HAYAGHAT,6,JAGNNATH SINGH,Janshakti Janta Dal,1461,4,1465,0.87
84,84 - HAYAGHAT,7,PRATIBHA SINGH,Jan Suraaj Party,5675,84,5759,3.41
84,84 - HAYAGHAT,8,HARSHA NARAYAN PANDIT,Bhagidari Party(P),1135,2,1137,0.67
84,84 - HAYAGHAT,9,USHA AKELA,Independent,437,3,440,0.26
84,84 - HAYAGHAT,10,NARESH KUMAR NAWAL,Independent,999,2,1001,0.59
84,84 - HAYAGHAT,11,PROBHENDRA JHA,Independent,3576,2,3578,2.12
84,84 - HAYAGHAT,12,MOHAMMAD MAHTAB ALAM,Independent,3665,2,3667,2.17
84,84 - HAYAGHAT,13,LAKSHMI DAS,Independent,2371,8,2379,1.41
84,84 - HAYAGHAT,14,NOTA,None of the Above,2762,5,2767,1.64
