Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
85,85 - BAHADURPUR,1,PRANAY PRABHAKAR,Bahujan Samaj Party,2744,15,2759,1.3
85,85 - BAHADURPUR,2,BHOLA YADAV,Rashtriya Janata Dal,83881,408,84289,39.6
85,85 - BAHADURPUR,3,MADAN SAHNI,Janata Dal (United),95949,351,96300,45.24
85,85 - BAHADURPUR,4,SURESH PRASAD SINGH,Rashtriya Lok Janshakti Party,1582,4,1586,0.75
85,85 - BAHADURPUR,5,ANJU DEVI,Bhagidari Party(P),1466,2,1468,0.69
85,85 - BAHADURPUR,6,BIRENDRA KUMAR PASWAN,Republican Party of India (Bhimrao Ambedkar),733,4,737,0.35
85,85 - BAHADURPUR,7,MOHAMMAD AMIR HAIDER,Jan Suraaj Party,5547,32,5579,2.62
85,85 - BAHADURPUR,8,RANJEET SHARMA,Gantantrik Samaj Party,766,2,768,0.36
85,85 - BAHADURPUR,9,RAJNISH KUMAR,Jantantra Awaj Party,401,0,401,0.19
85,85 - BAHADURPUR,10,ASAD ALI,Independent,403,1,404,0.19
85,85 - BAHADURPUR,11,UMESH CHOUDHARY,Independent,1253,9,1262,0.59
85,85 - BAHADURPUR,12,DILEEP KUMAR,Independent,1768,10,1778,0.84
85,85 - BAHADURPUR,13,RAM GULAM THAKUR,Independent,2319,1,2320,1.09
85,85 - BAHADURPUR,14,RAM CHATUR SAHNI,Independent,6311,1,6312,2.97
85,85 - BAHADURPUR,15,VINAI KUMAR SINGH,Independent,2376,3,2379,1.12
85,85 - BAHADURPUR,16,SANJAY PRASAD OJHA,Independent,1712,0,1712,0.8
85,85 - BAHADURPUR,17,SANJAY KUMAR SINGH,Independent,816,0,816,0.38
85,85 - BAHADURPUR,18,NOTA,None of the Above,1979,14,1993,0.94
