Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
86,86 - KEOTI,1,FARAZ FATMI,Rashtriya Janata Dal,81470,348,81818,42.48
86,86 - KEOTI,2,MANOJ KUMAR MAHTO,Bahujan Samaj Party,962,2,964,0.5
86,86 - KEOTI,3,MURARI MOHAN JHA,Bharatiya Janata Party,88908,215,89123,46.28
86,86 - KEOTI,4,BILTU SAHNI,Jan Suraaj Party,4792,24,4816,2.5
86,86 - KEOTI,5,MOHAMMAD ANISUR RAHMAN,All India Majlis-E-Ittehadul Muslimeen,7465,9,7474,3.88
86,86 - KEOTI,6,MOHAMMAD PINTU KHAN,Akhil Bharatiya Socialist Party,306,0,306,0.16
86,86 - KEOTI,7,YOGESH RANJAN,Proutist Sarva Samaj,455,5,460,0.24
86,86 - KEOTI,8,GULAB BABU RAIN,Independent,541,0,541,0.28
86,86 - KEOTI,9,DHIRENDRA KUMAR DHEERAJ,Independent,3886,9,3895,2.02
86,86 - KEOTI,10,BALARAM THAKUR,Independent,736,1,737,0.38
86,86 - KEOTI,11,NOTA,None of the Above,2453,1,2454,1.27
