Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
87,87 - JALE,1,RISHI MISHRA,Indian National Congress,78363,271,78634,39.25
87,87 - JALE,2,JIBESH KUMAR,Bharatiya Janata Party,100289,207,100496,50.16
87,87 - JALE,3,ROHIT KUMAR,Bahujan Samaj Party,1243,3,1246,0.62
87,87 - JALE,4,FAISHAL RAHMAN,All India Majlis-E-Ittehadul Muslimeen,4657,9,4666,2.33
87,87 - JALE,5,MUMTAZ ALI,Jan Mithila Vikas Party,393,0,393,0.2
87,87 - JALE,6,RANJIT SHARMA,Jan Suraaj Party,5130,20,5150,2.57
87,87 - JALE,7,SYED MD MAHTAB,The Plurals Party,501,1,502,0.25
87,87 - JALE,8,MASKOOR AHMAD USMANI,Independent,4576,29,4605,2.3
87,87 - JALE,9,MOHAMMAD PIYARE,Independent,1865,0,1865,0.93
87,87 - JALE,10,NOTA,None of the Above,2804,4,2808,1.4
