Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
90,90 - MINAPUR,1,AJAY KUMAR,Janata Dal (United),113091,320,113411,51.59
90,90 - MINAPUR,2,KUMAR PUSHPENDRA,Bahujan Samaj Party,3160,2,3162,1.44
90,90 - MINAPUR,3,RAJEEV KUMAR URF MUNNA YADAV,Rashtriya Janata Dal,78926,247,79173,36.01
90,90 - MINAPUR,4,JITENDRA PRASAD,Rashtriya Jansambhavna Party,1502,0,1502,0.68
90,90 - MINAPUR,5,TEJ NARAYAN SAHNI,Jan Suraaj Party,6608,25,6633,3.02
90,90 - MINAPUR,6,DHARMVIR KUMAR SHARMA,Jagrook Janta Party,806,1,807,0.37
90,90 - MINAPUR,7,SHIV KUMAR YADAV,Socialist Unity Centre Of India (COMMUNIST),1049,1,1050,0.48
90,90 - MINAPUR,8,DEENANATH PRASAD,Independent,750,0,750,0.34
90,90 - MINAPUR,9,RAMESH KUMAR,Independent,714,3,717,0.33
90,90 - MINAPUR,10,SANJIV CHAUDHRI,Independent,2649,5,2654,1.21
90,90 - MINAPUR,11,SANTOSH KUMAR,Independent,2177,2,2179,0.99
90,90 - MINAPUR,12,NOTA,None of the Above,7800,5,7805,3.55
