Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
93,93 - KURHANI,1,KEDAR PD GUPTA,Bharatiya Janata Party,107493,318,107811,46.49
93,93 - KURHANI,2,VIJAYESH KUMAR,Bahujan Samaj Party,2109,8,2117,0.91
93,93 - KURHANI,3,SUNIL KUMAR SUMAN,Rashtriya Janata Dal,97685,408,98093,42.3
93,93 - KURHANI,4,AJAY KUMAR SAHANI,Socialist Party (India),793,1,794,0.34
93,93 - KURHANI,5,ALOK KUMAR SINGH,Rashtriya Jansambhavna Party,555,0,555,0.24
93,93 - KURHANI,6,MD GULAM MASOOM,Janshakti Janta Dal,521,3,524,0.23
93,93 - KURHANI,7,BAIJU KUMAR RAY,Samata Party,306,1,307,0.13
93,93 - KURHANI,8,MOHAMMAD ALI IRFAN,Jan Suraaj Party,4039,36,4075,1.76
93,93 - KURHANI,9,ROHIT KUMAR,Right to Recall Party,238,2,240,0.1
93,93 - KURHANI,10,SANJEET MANJHI,Socialist Unity Centre Of India (COMMUNIST),435,1,436,0.19
93,93 - KURHANI,11,ARVIND KUMAR,Independent,276,2,278,0.12
93,93 - KURHANI,12,GULAB KUMAR RAJAK,Independent,491,3,494,0.21
93,93 - KURHANI,13,DINESH KUMAR RAY,Independent,769,2,771,0.33
93,93 - KURHANI,14,DHARMENDRA KUMAR,Independent,6712,21,6733,2.9
93,93 - KURHANI,15,PRAMOD KUMAR SHARMA,Independent,838,1,839,0.36
93,93 - KURHANI,16,MANISH KUMAR,Independent,3363,5,3368,1.45
93,93 - KURHANI,17,SANJEET KUMAR JHA,Independent,1845,0,1845,0.8
93,93 - KURHANI,18,DR. SANTOSH KUMAR,Independent,400,2,402,0.17
93,93 - KURHANI,19,SUMIT KUMAR JHA,Independent,1208,1,1209,0.52
93,93 - KURHANI,20,SURESH KUMAR GUPTA,Independent,263,1,264,0.11
93,93 - KURHANI,21,NOTA,None of the Above,721,8,729,0.31
