Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
94,94 - MUZAFFARPUR,1,BALAK NATH SAHANI,Bahujan Samaj Party,593,1,594,0.32
94,94 - MUZAFFARPUR,2,RANJAN KUMAR,Bharatiya Janata Party,100060,417,100477,53.43
94,94 - MUZAFFARPUR,3,BIJENDRA CHAUDHARY,Indian National Congress,67456,364,67820,36.06
94,94 - MUZAFFARPUR,4,MD HASAN,Aam Aadmi Party,433,1,434,0.23
94,94 - MUZAFFARPUR,5,AJAY KUMAR,Bajjikanchal Vikas Party,220,1,221,0.12
94,94 - MUZAFFARPUR,6,AMAN KUMAR JHA,Socialist Unity Centre Of India (COMMUNIST),171,0,171,0.09
94,94 - MUZAFFARPUR,7,ASHOK KUMAR JHA,Garib Janshakti Party,301,0,301,0.16
94,94 - MUZAFFARPUR,8,DR. A.K. DAS,Jan Suraaj Party,10077,96,10173,5.41
94,94 - MUZAFFARPUR,9,DHANVANTI DEVI,Lok Chetna Dal,275,0,275,0.15
94,94 - MUZAFFARPUR,10,MANOJ KUMAR,Rashtriya Jansambhavna Party,223,0,223,0.12
94,94 - MUZAFFARPUR,11,SHANU KUMAR,Aazad Samaj Party (Kanshi Ram),656,7,663,0.35
94,94 - MUZAFFARPUR,12,AWADHESH PRASAD SINGH,Independent,272,1,273,0.15
94,94 - MUZAFFARPUR,13,ANAND PATEL,Independent,386,2,388,0.21
94,94 - MUZAFFARPUR,14,KANHAIYA KUMAR,Independent,803,2,805,0.43
94,94 - MUZAFFARPUR,15,CHANDRA BHUSHAN PRASAD,Independent,954,3,957,0.51
94,94 - MUZAFFARPUR,16,BASKIT KUMAR SHARMA,Independent,604,0,604,0.32
94,94 - MUZAFFARPUR,17,MD SHABBIR ANSARI,Independent,221,1,222,0.12
94,94 - MUZAFFARPUR,18,SANJAY KUMAR S/O JATAN RAJAK,Independent,753,0,753,0.4
94,94 - MUZAFFARPUR,19,SANJAY KUMAR S/O LATE NAND KISHOR PRASAD,Independent,460,0,460,0.24
94,94 - MUZAFFARPUR,20,SANJAY KUMAR KEJRIWAL,Independent,1645,6,1651,0.88
94,94 - MUZAFFARPUR,21,NOTA,None of the Above,597,9,606,0.32
