Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
95,95 - KANTI,1,AJIT KUMAR,Janata Dal (United),116893,406,117299,50.43
95,95 - KANTI,2,MOHAMMAD ISRAIL MANSURI,Rashtriya Janata Dal,91136,368,91504,39.34
95,95 - KANTI,3,VIVEK KUMAR,Bahujan Samaj Party,1197,3,1200,0.52
95,95 - KANTI,4,ANAND KUMAR JHA,Lok Chetna Dal,387,0,387,0.17
95,95 - KANTI,5,KUMARI SHEETAL,Aazad Samaj Party (Kanshi Ram),2584,10,2594,1.12
95,95 - KANTI,6,PRANJAL PRAKALP,Kisan Suraj Dal,345,2,347,0.15
95,95 - KANTI,7,LAL BABU ROY,Socialist Unity Centre Of India (COMMUNIST),1194,3,1197,0.51
95,95 - KANTI,8,BIRENDRA KUMAR,Rashtriya Jansambhavna Party,588,1,589,0.25
95,95 - KANTI,9,SUDARSHAN MISHRA,Jan Suraaj Party,4209,42,4251,1.83
95,95 - KANTI,10,AJIT KUMAR,Independent,748,3,751,0.32
95,95 - KANTI,11,MD JAFRUDIN,Independent,532,0,532,0.23
95,95 - KANTI,12,RANJIT KUMAR JHA ALIAS PINAKI JHA,Independent,1236,1,1237,0.53
95,95 - KANTI,13,SURESH KUMAR GUPTA,Independent,2888,1,2889,1.24
95,95 - KANTI,14,NOTA,None of the Above,7819,4,7823,3.36
