Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
96,96 - BARURAJ,1,ARUN KUMAR SINGH,Bharatiya Janata Party,96663,216,96879,47.14
96,96 - BARURAJ,2,NASIMA KHATOON,Bahujan Samaj Party,2940,4,2944,1.43
96,96 - BARURAJ,3,MD. ANZAR,Rashtriya Ulama Council,511,1,512,0.25
96,96 - BARURAJ,4,MADHAV BHAKTA,Socialist Unity Centre Of India (COMMUNIST),628,5,633,0.31
96,96 - BARURAJ,5,RAKESH KUMAR,Vikassheel Insaan Party,67629,198,67827,33
96,96 - BARURAJ,6,VIDHYALAL SAHANI,Lok Chetna Dal,2032,3,2035,0.99
96,96 - BARURAJ,7,SANJAY KUMAR PASWAN,Rashtriya Lok Janshakti Party,1578,0,1578,0.77
96,96 - BARURAJ,8,HIRALAL KHARIA,Jan Suraaj Party,19898,37,19935,9.7
96,96 - BARURAJ,9,AWADHESH KUMAR GUPTA,Independent,4854,3,4857,2.36
96,96 - BARURAJ,10,RAJESH KUMAR,Independent,704,0,704,0.34
96,96 - BARURAJ,11,RAJESH KUMAR SAH,Independent,997,0,997,0.49
96,96 - BARURAJ,12,SANTOSH KUMAR,Independent,1682,0,1682,0.82
96,96 - BARURAJ,13,NOTA,None of the Above,4924,2,4926,2.4
