Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
97,97 - PAROO,1,VIJAY KUMAR,Bahujan Samaj Party,4492,17,4509,1.98
97,97 - PAROO,2,SHANKAR PRASAD,Rashtriya Janata Dal,94884,388,95272,41.76
97,97 - PAROO,3,NANHAK SAH,Socialist Unity Centre Of India (COMMUNIST),1646,7,1653,0.72
97,97 - PAROO,4,MADAN CHAUDHARY,Rashtriya Lok Morcha,66283,162,66445,29.12
97,97 - PAROO,5,RANJANA KUMARI,Jan Suraaj Party,6771,54,6825,2.99
97,97 - PAROO,6,ASHOK KUMAR SINGH,Independent,40462,199,40661,17.82
97,97 - PAROO,7,ASHUTOSH KUMAR,Independent,2247,1,2248,0.99
97,97 - PAROO,8,NIRAJ KUMAR,Independent,2300,1,2301,1.01
97,97 - PAROO,9,MANISH KUMAR SINGH,Independent,2854,2,2856,1.25
97,97 - PAROO,10,VIJAY THAKUR,Independent,2691,1,2692,1.18
97,97 - PAROO,11,NOTA,None of the Above,2699,2,2701,1.18
